FACT_ID,X1,X2,Y1,Y2,scheme
0000206F,0.09770994481414602,0.06190858560861918,0.8056748341053789,0.9188722564816574,Census
0000208B,-4.178987509594899,-4.322478620855266,0.5950359719287472,0.1091491295239598,Census
0000706F,1.0969292669403772,1.1972275364927412,1.5407232248161118,1.2712776569646378,Census
0000733F,-1.8833512320162487,-1.9582865924587092,1.0456140742194664,1.0949150373696759,Sample
0000806F,1.0074686753896798,1.2856591868042926,2.208537717160335,1.9810692201754734,Census
0000833F,0.41043460290123956,-0.20668758704783607,1.3615546243652263,1.2097699801779533,Census
0001106F,1.2392162982490778,1.0929918320695444,0.6081834277569822,0.9489952258446859,Census
0001333F,0.21474030675825354,-0.3851423510947669,1.9179626869870514,1.5939567287389207,Census
0001608B,-1.4611006663581314,-0.11035823776839646,0.20504268024327332,1.4473071413918306,Census
0001806F,2.202529155307878,1.3331660392645959,2.8335596317725966,3.2951476051921977,Census
0002033F,1.166154913423926,1.370460539458549,1.946991018359575,2.051802957707117,Census
0002106F,2.146534573657322,1.7386267101215114,1.6676938206705914,-1.725294870587598,Census
0002306F,1.0745065218951935,1.3068111423756743,-0.22307318914764032,0.7850828224390708,Census
0002406F,0.6801838583968871,1.1246992355008572,2.086563145026742,1.8651552333087178,Census
0002806F,1.9547558561285663,1.886647940495269,2.5767071056464625,2.56405380683946,Census
0003003F,0.853242488932954,-0.3638640348207567,1.8518218751180093,1.615690867627099,Sample
0003108B,-1.5282882523640187,-1.51461721429832,0.5247815557160483,0.42567269622456705,Census
0003506F,2.7801317005286936,1.527209137205518,3.9589639435424817,2.7596582547067623,Census
0003533F,0.9332038067807095,1.42250942712114,1.3415773925830394,1.3584901938494922,Sample
0003606F,1.7322576439128934,1.1822644957681963,3.37292040067433,2.7705488933783036,Census
0003633F,1.911808188231785,1.6084523413282843,2.1330376146676486,1.5544433414262802,Census
0004106F,0.29118229134386786,1.2052589540525078,1.5527618967222996,2.0892453687565826,Census
0004306F,1.961751226341783,1.483041423711915,2.643444487248117,2.5449917688834884,Census
0004406F,3.0404688735943988,2.3648474832286235,2.4126068040857205,2.0117456581893256,Census
0004606F,0.6911091408028814,2.702920234074845,2.360017804157554,2.940516060642027,Census
0004808B,-3.134096047776437,-3.3422431929058227,0.26982432322923683,0.09718888234918915,Census
0004906F,1.9468146498302104,2.0225917110750644,2.944546697050518,3.281077098323863,Census
0005106F,1.422690404060642,1.6505966579219082,1.3475394402329433,0.9119509488613605,Census
0005119F,0.28304861770502227,0.048646250231337444,2.2315752264245443,2.941118343321356,Sample
0005206F,1.7648441638477597,1.6679328736389363,2.9174502307473107,2.6414736157799927,Census
0005633F,-0.14266867499460914,-0.0644260310635801,0.9561719532302373,0.5024750666417716,Census
0005706F,3.203586764409171,3.1532251314448687,2.6732134165408614,3.313176620227697,Census
0005806F,0.7067839065052127,1.5288119078081854,1.7156689727258019,2.034164565388276,Census
0005819F,1.765958752868663,1.6895202671060117,2.572249290343302,2.7098528923037395,Census
0005906F,-0.3457801919560469,0.9214170186352895,1.200878262061794,1.3098528963712381,Census
0006206F,-0.3449703830216334,-0.044018233267455666,2.014346636920322,2.1374789101939635,Census
0006224F,0.48992726997726227,0.5033941489285377,0.03200451277385717,-0.34171166179660695,Census
0006524F,0.6722988443550691,0.6609574665395903,0.5024406368405172,1.4129537828201597,Census
0006528F,0.7785942538253741,0.6125295323217259,1.5737638724564527,1.6353455299680173,Census
0006903F,0.9192136730052751,0.9884747378773265,2.464583958659946,2.3190289704556255,Census
0007106F,1.3469574295105409,1.3476139758148207,2.5997344046574398,3.861403807165083,Census
0007706F,1.4335702369695311,1.2930787600151743,1.7176095496878407,1.1725356862005134,Census
0007803F,2.7133285713588897,3.6245043272908863,3.0478068856981944,2.914207543464299,Census
0008003F,1.9990720779865871,1.653030791776183,2.00774345374326,1.4515722305661758,Sample
0008006F,0.7539883948426251,1.1354747151080204,2.6361161993116022,1.9161076374897064,Census
0008303F,-0.012600689778788704,0.489444628680116,3.3500190815350606,2.7743591196088513,Census
0008629F,3.6928603920854366,3.8312482444395553,3.44316890176902,3.5333487362015625,Census
0008706F,0.20683842860945328,0.14085102813077024,2.765343078214479,3.0718472803646235,Census
0008728F,-0.14052729612992956,-0.2634029899444045,1.8394730392118301,2.074188769109746,Census
0008803F,-0.2438890612902859,-0.14364709416256763,3.1066824255878522,2.931879105861263,Census
0009329F,-0.7369981199234129,-0.9577818038850044,1.0482977946172498,0.9353319083914355,Census
0009428F,1.5830571782938088,1.5965240572450843,1.8007398085726702,1.7776153495996172,Census
0009429F,1.0776870420813311,0.8120436978950337,2.2502226670471845,2.1891739845409366,Sample
0009508B,0.7572863115350322,0.8642471576229281,-0.020672367891350123,0.6017144640810606,Sample
0009819F,1.1963568153151534,0.7034456494848607,2.1109830465174846,1.4989919008480788,Census
0010708F,-2.660810799571353,-1.756982464041113,1.073629560339158,1.3468884145504296,Sample
0010808F,2.0014070775071953,1.6628123425527803,3.2325225177933565,2.9531322595942457,Sample
0011106F,1.4691857034495286,2.1120978082138953,2.800916325603499,2.949816608266241,Census
0011306F,3.3340465369760994,3.744049356152139,3.3470951420147923,3.5597038628750846,Census
0011319F,2.605948495065284,2.393980086222152,-0.009190574111851943,2.20853508733434,Census
0011708F,2.1773110019211077,2.191377978269177,2.0938347459357156,2.335773255999365,Sample
0011806F,0.8677867701976455,1.4626260692866442,1.0260576261081102,2.2205407975632054,Census
0011819F,2.8501103836465562,2.556204952861091,3.815542925258699,3.9182953396007907,Census
